ID,ProjectName,Watershed,Season,Elevation,Year,Month,Plot,Horizon,Weight_g,Dried,DriedMethod,RootPicked,RootSize_mm,Archived_g,Weight_g_14C,Label_14C,Measured_%_C,Measured_%_N,F14C,al_pyr_mg_g,fe_pyr_mg_g,al_ox_mg_g,fe_ox_mg_g,Plot_1_Horizons,Plot_1_HorizonLength,Plot_2_Horizon,Plot_2_HorizonLength,Plot_3_Horizon,Plot_3_HorizonLength,Plot_4_Horizon,Plot_4_HorizonLength,Plot_5_Horizon,Plot_5_HorizonLength,Plot_6_Horizon,Plot_6_HorizonLength,Notes,Delta14C,mean_BD_g_cm3,sd_BD_g_cm3,median_BD_g_cm3,mad_BD_g_cm3
HBB_001,HubbardBearBrook,W6,Summer,Low,2010,6,LT168,Oi/Oe,22.35,Yes,DegreeC60_48h,Yes,all,12.58,0.4622,#001,37.75,2,1.1117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.66027133466017,0.0984582002484677,0.0532811495479952,0.08729411764705883,0.03012466623093683
HBB_002,HubbardBearBrook,W6,Summer,Low,2010,6,LT162,Oa/A,52.15,Yes,DegreeC60_48h,Yes,all,38.67,0.4555,#002,13.98,0.75,1.0887,0.824,2.058,1.089,3.545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.82660556089283,0.2496906574420651,0.17418773194120374,0.21713747645951037,0.1070650687527162
HBB_003,HubbardBearBrook,W6,Summer,Low,2010,6,LT162,Oi/Oe,40.62,Yes,DegreeC60_48h,Yes,all,28.39,0.4542,#003,26.27,1.39,1.1649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156.47553303746142,0.0984582002484677,0.0532811495479952,0.08729411764705883,0.03012466623093683
HBB_004,HubbardBearBrook,W6,Summer,Low,2010,6,LT174,Oa/A,32.37,Yes,DegreeC60_48h,Yes,all,NA,0.4553,#004,41.89,1.76,1.0154,2.297,1.431,2.191,1.981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.056705507973438,0.2496906574420651,0.17418773194120374,0.21713747645951037,0.1070650687527162
HBB_005,HubbardBearBrook,W6,Summer,Low,2010,6,LT168,Oa/A,75.05,Yes,DegreeC60_48h,Yes,all,NA,0.5077,#005,21.1,1.1,1.0696,1.33,2.445,1.473,3.243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.86473528789493,0.2496906574420651,0.17418773194120374,0.21713747645951037,0.1070650687527162
HBB_006,HubbardBearBrook,W6,Summer,Low,2010,6,LT174,Oi/Oe,32.36,Yes,DegreeC60_48h,Yes,all,22.64,0.4589,#006,44.75,2.29,1.1205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Length,112.39663041331904,0.0984582002484677,0.0532811495479952,0.08729411764705883,0.03012466623093683
HBB_007,HubbardBearBrook,W6,Summer,Low,2010,6,LT163,Oi/Oe,27.65,Yes,DegreeC60_48h,Yes,all,18.42,0.4568,#007,47.26,2.26,1.143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134.73391214852626,0.0984582002484677,0.0532811495479952,0.08729411764705883,0.03012466623093683
HBB_008,HubbardBearBrook,W6,Summer,Low,2010,6,LT162,Mineral_0_10,98.3,Yes,DegreeC60_48h,Yes,<2,77.66,0.5601,#008,5.53,0.3,1.0164,1.933,6.422,2.491,9.493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.04947358509367,0.6348665628178243,0.2228321503308246,0.6051728130863039,0.16851290483339315
HBB_009,HubbardBearBrook,W6,Summer,Low,2010,6,LT172,Oi/Oe,30.37,Yes,DegreeC60_48h,Yes,all,21.39,0.4628,#009,36.01,1.88,1.1398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.55705430174126,0.0984582002484677,0.0532811495479952,0.08729411764705883,0.03012466623093683
HBB_010,HubbardBearBrook,W6,Summer,Low,2010,6,LT163,Mineral_0_10,85.43,Yes,DegreeC60_48h,Yes,<2,62.8,0.5021,#010,2.78,0.12,0.9807,0.529,0.858,1.026,4.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-26.39234676810176,0.6348665628178243,0.2228321503308246,0.6051728130863039,0.16851290483339315
